TIFfilename,CellType,Condition,Nucleus ID,Area (um^2),Perimeter (um),Major,Minor,Estimated Radius (um),Estimated Volume (um^3),Estimated Surface Area (um^2)
,GM12878,Mg,2,4414,235.873,78.751,71.365,36.914,210002.875,17114.709
,GM12878,Mg,3,3949,223.181,70.909,70.908,35.454,186676.846,15795.902
,GM12878,Mg,4,4582,240.585,80.418,72.546,37.585,221604.632,17742.186
,GM12878,Mg,5,4802,246.508,82.46,74.146,38.459,237365.396,18575.933
,GM12878,Mg,6,4863,247.751,82.945,74.649,38.707,242011.956,18816.956
,GM12878,Mg,7,4792,245.428,79.63,76.621,38.812,244777.204,18928.311
,GM12878,Mg,8,4545,239.111,77.623,74.551,37.788,225889.473,17942.093
,GM12878,Mg,9,4372,235.813,81.097,68.642,36.397,200070.597,16622.081
,GM12878,Mg,10,4218,230.542,74.542,72.047,36.439,202596.28,16685.045
,GM12878,Mg,11,4556,239.602,76.172,76.155,38.08,231308.092,18222.642
,GM12878,Mg,12,4758,245.139,81.573,74.266,38.351,235572.789,18474.347
,GM12878,Mg,13,4352,234.151,77.899,71.132,36.694,206376.643,16912.901
,GM12878,Mg,14,4836,246.409,82.276,74.838,38.659,241277.118,18771.947
,GM12878,Mg,15,4824,246.506,82.131,74.784,38.617,240504.449,18731.211
,GM12878,Mg,16,4211,230.308,73.227,73.219,36.611,205549.986,16843.374
,GM12878,Mg,17,4485,237.184,75.622,75.514,37.775,225788.455,17931.589
,GM12878,Mg,18,7099,298.191,95.072,95.072,47.536,449941.977,28395.867
,GM12878,Mg,19,4297,233.167,74.044,73.89,36.971,211670.252,17176.091
,GM12878,Mg,20,4276,231.911,73.815,73.757,36.888,210256.647,17099.523
112316_Mg_4.tif,GM12878,Mg,1,4357,237.267,84.639,65.543,35.954,190380.199,16181.916
,GM12878,Mg,2,3931,222.439,71.899,69.613,35.188,182432.485,15558.428
,GM12878,Mg,3,4096,227.633,78.049,66.819,35.281,182459.26,15622.012
,GM12878,Mg,4,3834,220.642,75.623,64.552,34.121,164995.435,14610.855
,GM12878,Mg,5,4126,227.542,74.193,70.807,35.968,194766.358,16255.255
,GM12878,Mg,6,3681,220.402,82.236,56.992,32.703,139858.349,13321.954
,GM12878,Mg,7,4227,230.828,73.379,73.345,36.678,206686.179,16905.386
,GM12878,Mg,8,4778,245.308,78.045,77.949,38.991,248293.187,19104.138
,GM12878,Mg,9,5173,254.698,81.158,81.156,40.578,279879.588,20691.8
,GM12878,Mg,10,6987,302.606,111.407,79.852,45.185,371948.403,25476.476
,GM12878,Mg,11,3768,217.519,69.307,69.222,34.625,173885.756,15065.848
,GM12878,Mg,12,4574,239.696,76.315,76.312,38.157,232698.831,18295.611
,GM12878,Mg,13,3144,199.741,67.289,59.491,31.045,124693.908,12102.046
,GM12878,Mg,14,4179,228.994,74.833,71.103,36.173,198092.315,16441.036
,GM12878,Mg,15,3662,214.579,69.982,66.626,33.872,162656.886,14416.192
,GM12878,Mg,16,3738,216.573,70.8,67.223,34.208,167520.384,14702.848
,GM12878,Mg,17,4344,233.674,74.414,74.327,37.178,215251.646,17369.283
,GM12878,Mg,18,4026,225.445,74.662,68.657,35.329,184275.623,15679.439
,GM12878,Mg,19,4358,236.445,84.086,65.99,36.011,191724.923,16240.233
,GM12878,Mg,20,5036,251.767,81.455,78.719,39.816,264286.821,19920.063
112316_Mg_5.tif,GM12878,Mg,1,4516,238.607,78.372,73.368,37.518,220888.402,17684.717
,GM12878,Mg,2,4557,239.379,77.858,74.522,37.817,226397.105,17969.87
,GM12878,Mg,3,4489,238.115,77.325,73.916,37.526,221205.268,17694.438
,GM12878,Mg,4,4190,229.356,74.652,71.463,36.263,199619.313,16523.365
,GM12878,Mg,5,5133,254.118,82.796,78.936,40.111,270120.913,20216.101
,GM12878,Mg,6,5681,267.378,87.148,83,42.191,314349.108,22366.993
,GM12878,Mg,7,3960,222.868,72.682,69.371,35.237,183139.237,15601.684
,GM12878,Mg,8,4501,238.55,80.85,70.882,37.102,212691.715,17283.104
,GM12878,Mg,9,4614,243.085,86.297,68.076,37.075,209402.75,17216.719
,GM12878,Mg,10,4418,235.647,76.841,73.205,37.209,215612.095,17395.865
,GM12878,Mg,11,4606,240.93,77.849,75.332,38.086,231318.654,18226.676
,GM12878,Mg,12,4068,226.472,71.972,71.966,35.984,195171.735,16271.543
,GM12878,Mg,13,4476,237.211,75.517,75.467,37.742,225194.367,17900.116
,GM12878,Mg,14,4763,244.635,77.951,77.798,38.925,247034.255,19039.515
,GM12878,Mg,15,4331,238.237,87.541,62.992,35.588,181878.314,15806.101
,GM12878,Mg,16,4298,232.244,73.976,73.975,36.988,211962.686,17191.894
,GM12878,Mg,17,4376,234.273,74.68,74.607,37.316,217651.711,17498.155
,GM12878,Mg,18,4035,225.346,71.706,71.647,35.833,192730.363,16135.568
,GM12878,Mg,19,4772,244.599,77.948,77.948,38.974,247978.228,19087.974
,GM12878,Mg,20,5528,263.717,87.13,80.781,41.449,297704.08,21582.902
112316_Return_1.tif,GM12878,Return,1,8539,327.522,106.874,101.729,51.722,579108.897,33613.253
,GM12878,Return,2,8576,328.152,107.232,101.829,51.815,582191.669,33733.848
,GM12878,Return,3,7812,313.6,102.206,97.318,49.474,506828.892,30754.51
,GM12878,Return,4,5572,266.074,91.37,77.645,41.11,288422.566,21207.353
,GM12878,Return,5,4894,252.691,92.914,67.065,37.841,218812.253,17873.566
,GM12878,Return,6,6391,284.17,96.031,84.736,44.251,361032.245,24586.433
,GM12878,Return,7,7227,302.305,102.245,89.997,47.04,433607.482,27782.784
,GM12878,Return,8,6983,297.342,100.404,88.552,46.251,412236.447,26859.925
,GM12878,Return,9,8944,336.573,113.609,100.238,52.348,597690.214,34407.296
,GM12878,Return,10,4930,251.339,88.509,70.92,38.392,233089.929,18469.791
,GM12878,Return,11,4938,252.177,89.7,70.092,38.314,230742.7,18381.319
,GM12878,Return,12,5018,252.945,87.714,72.841,38.899,243679.692,18978.789
,GM12878,Return,13,5060,259.701,97.744,65.913,38.262,222346.802,18205.987
,GM12878,Return,14,5638,266.88,89.58,80.135,41.642,301199.442,21776.71
,GM12878,Return,15,4936,249.321,79.292,79.261,39.636,260823.723,19741.593
,GM12878,Return,16,5617,266.435,89.948,79.51,41.495,297737.571,21619.932
,GM12878,Return,17,7530,307.144,97.927,97.905,48.956,491485.62,30117.899
,GM12878,Return,18,5387,260.928,88.207,77.76,40.621,279263.501,20718.502
,GM12878,Return,19,7556,307.942,98.087,98.083,49.042,494080.32,30223.807
,GM12878,Return,20,5044,253.626,87.976,73,38.996,245475.727,19072.888
,,,,,,,,,,
,,,,,,,,,,
112316_Return_2.tif,GM12878,Return,1,4666,250.921,95.905,61.946,36.633,192693.209,16641.026
,GM12878,Return,2,5386,260.518,86.102,79.646,40.899,285982.725,21013.883
